Timestamp,n1,n4,n31,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769,T1,p227,p235,PUMP_1
2018-01-01 00:00:00,29.0158,33.9667,37.2292,37.2775,50.6092,54.0942,52.7017,55.4558,39.0942,52.6975,52.9167,42.5108,56.5358,46.895,31.2258,45.7475,36.9458,43.6608,47.6275,51.7583,53.6367,54.9708,47.7092,54.92,56.3025,45.6492,47.75,47.4325,46.2175,47.2108,43.8458,49.26,48.5708,3.58,69.3633,74.6558,44.0583
2018-01-01 01:00:00,29.2242,34.1733,37.4308,37.5033,50.7225,54.2258,52.9008,55.6508,39.0975,52.9092,53.0742,42.6067,56.6758,47.1025,31.4525,45.9483,37.17,43.8708,47.7425,51.8433,53.7617,55.1208,47.9008,55.08,56.5067,45.8158,47.9308,47.585,46.3317,47.3533,43.9017,49.4083,48.6808,3.7717,55.875,61.2433,44.0675
2018-01-01 02:00:00,29.2825,34.2242,37.4917,38.13,50.8925,54.4192,53.2483,55.9825,39.1,53.2617,53.2767,42.7392,56.8958,47.4875,31.9825,46.3233,37.6775,44.2517,47.9125,51.9733,53.95,55.3442,48.2358,55.33,56.8558,46.095,48.2083,47.795,46.4758,47.5358,43.9733,49.5942,48.8158,3.8717,29.2725,32.3558,7.3442
2018-01-01 03:00:00,29.1708,34.1175,37.3867,38.2575,50.93,54.465,53.32,56.0525,39.1,53.3408,53.3242,42.7675,56.9442,47.5692,32.0908,46.4017,37.7825,44.3317,47.9525,52.0025,53.9933,55.395,48.3083,55.3842,56.93,46.1542,48.2675,47.8425,46.5108,47.5767,43.99,49.635,48.8458,3.7758,21.7492,24.28,0
2018-01-01 04:00:00,29.1017,34.0075,37.3667,38.2667,50.9383,54.4733,53.3308,56.0625,39.1,53.3492,53.3308,42.7733,56.9517,47.5792,32.1017,46.4108,37.7925,44.3408,47.9583,52.0075,54,55.4042,48.3158,55.3933,56.94,46.1617,48.2758,47.8508,46.5158,47.5825,43.9917,49.6408,48.8533,3.72,19.99,22.26,0
2018-01-01 05:00:00,29.0467,33.8825,37.2967,38.2242,50.91,54.44,53.2883,56.0233,39.1,53.3083,53.2975,42.75,56.9208,47.535,32.0575,46.3725,37.7517,44.2983,47.9325,51.9883,53.9708,55.3692,48.2758,55.3558,56.8967,46.1275,48.2375,47.8175,46.4883,47.5508,43.9783,49.6092,48.8292,3.66,26.8108,29.175,0
2018-01-01 06:00:00,28.9808,33.89,37.2067,37.9475,50.7392,54.2458,53.0225,55.7575,39.1,53.0358,53.0617,42.5992,56.7208,47.2633,31.7592,46.1117,37.4725,44.0233,47.7575,51.8658,53.7858,55.1558,48.0233,55.1308,56.6275,45.9008,47.98,47.5917,46.3117,47.335,43.8908,49.385,48.6617,3.5942,55.4333,57.3992,0
2018-01-01 07:00:00,28.7342,33.7008,37.0442,37.5675,50.5117,53.9767,52.655,55.3975,39.0917,52.6533,52.7408,42.3942,56.4483,46.8908,31.355,45.7625,37.095,43.6525,47.5233,51.7017,53.5375,54.8583,47.6767,54.82,56.2583,45.5908,47.6292,47.2825,46.0733,47.0367,43.7742,49.0767,48.4342,3.4942,81.2167,83.475,0
2018-01-01 08:00:00,28.5067,33.445,36.8725,37.4567,50.4392,53.8917,52.545,55.2867,39.0883,52.5342,52.6558,42.3358,56.3625,46.7775,31.245,45.6558,36.9825,43.5392,47.4483,51.65,53.4592,54.77,47.5717,54.725,56.1442,45.5025,47.5308,47.2008,46.0067,46.9583,43.74,48.9967,48.3725,3.3575,87.51,90.7842,0
2018-01-01 09:00:00,28.4792,33.3225,36.7533,37.4275,50.4225,53.8683,52.5192,55.26,39.0892,52.5058,52.6333,42.3283,56.3425,46.7517,31.2192,45.6342,36.9575,43.5125,47.4333,51.6392,53.4392,54.7442,47.5458,54.7008,56.1175,45.4825,47.5083,47.1783,45.9992,46.9408,43.7367,48.975,48.3592,3.2175,88.4475,92.0567,0
